UserID,Tier,MonthsActive,HoursStreamed,Region,Price,TotalRevenue,Engagement_tier
10001,Premium,3,127.97463093499384,Latin America,19.99,59.97,Low Engagement
10002,Basic,5,401.6942672927111,Europe,9.99,49.95,High Engagement
10003,Premium,3,343.9405548271923,North America,19.99,59.97,Medium Engagement
10004,Premium,12,191.57354338600106,North America,19.99,239.88,Medium Engagement
10005,Basic,11,270.4316047490207,Asia,9.99,109.89,Medium Engagement
10006,Basic,7,281.3098817365971,Latin America,9.99,69.93,Medium Engagement
10007,Premium,12,339.3314391080108,Latin America,19.99,239.88,Medium Engagement
10008,Standard,9,188.6046230004941,Asia,14.99,134.91,Medium Engagement
10009,Premium,12,331.908008798682,Europe,19.99,239.88,Medium Engagement
10010,Premium,6,208.90710218447987,Europe,19.99,119.94,Medium Engagement
10011,Premium,10,149.810319687354,Asia,19.99,199.89999999999998,Low Engagement
10012,Premium,1,304.3102419485873,Europe,19.99,19.99,Medium Engagement
10013,Basic,7,248.6489042306338,Europe,9.99,69.93,Medium Engagement
10014,Premium,3,444.0931730148013,Europe,19.99,59.97,High Engagement
10015,Standard,5,160.020605118234,Asia,14.99,74.95,Medium Engagement
10016,Basic,10,302.41897638105917,North America,9.99,99.9,Medium Engagement
10017,Standard,4,219.264906715485,Latin America,14.99,59.96,Medium Engagement
10018,Standard,10,308.75190328930233,North America,14.99,149.9,Medium Engagement
10019,Standard,5,139.7132836576562,Europe,14.99,74.95,Low Engagement
10020,Standard,5,155.2922668226077,Asia,14.99,74.95,Medium Engagement
10021,Basic,6,191.80938826251372,Latin America,9.99,59.94,Medium Engagement
10022,Basic,10,255.92230342510635,Europe,9.99,99.9,Medium Engagement
10023,Standard,12,201.91890500962336,Latin America,14.99,179.88,Medium Engagement
10024,Standard,10,299.42907579350646,Latin America,14.99,149.9,Medium Engagement
10025,Basic,11,327.01709636934356,North America,9.99,109.89,Medium Engagement
10026,Basic,6,294.9683155934017,Europe,9.99,59.94,Medium Engagement
10027,Basic,8,371.4090729745651,Latin America,9.99,79.92,High Engagement
10028,Premium,8,281.1869972091507,North America,19.99,159.92,Medium Engagement
10029,Premium,11,158.73274672448747,Asia,19.99,219.89,Medium Engagement
10030,Premium,9,352.2532385153755,Latin America,19.99,179.91,High Engagement
10031,Standard,8,248.6489042306338,Europe,14.99,119.92,Medium Engagement
10032,Premium,11,318.28138747641776,Asia,19.99,219.89,Medium Engagement
10033,Standard,2,368.030066241633,Latin America,14.99,29.98,High Engagement
10034,Standard,12,284.25160080477997,Latin America,14.99,179.88,Medium Engagement
10035,Premium,10,137.78808901265126,Europe,19.99,199.89999999999998,Low Engagement
10036,Standard,12,181.13408751176564,Latin America,14.99,179.88,Medium Engagement
10037,Premium,11,349.20583501638515,Europe,19.99,219.89,Medium Engagement
10038,Premium,1,237.31579857678878,Europe,19.99,19.99,Medium Engagement
10039,Basic,10,255.96801512066244,Europe,9.99,99.9,Medium Engagement
10040,Premium,2,248.6489042306338,Europe,19.99,39.98,Medium Engagement
10041,Basic,2,302.2242146560243,Latin America,9.99,19.98,Medium Engagement
10042,Premium,12,270.9099859289096,Asia,19.99,239.88,Medium Engagement
10043,Premium,3,248.6489042306338,Asia,19.99,59.97,Medium Engagement
10044,Basic,10,226.5498665700732,North America,9.99,99.9,Medium Engagement
10045,Basic,7,314.3424118968507,Europe,9.99,69.93,Medium Engagement
10046,Premium,2,291.5177148300845,Latin America,19.99,39.98,Medium Engagement
10047,Standard,1,230.70249995366578,Latin America,14.99,14.99,Medium Engagement
10048,Basic,6,331.1584234744856,North America,9.99,59.94,Medium Engagement
10049,Standard,9,240.32244136526623,Asia,14.99,134.91,Medium Engagement
10050,Standard,3,248.6489042306338,Latin America,14.99,44.97,Medium Engagement
10051,Standard,6,193.07719758224914,North America,14.99,89.94,Medium Engagement
10052,Basic,3,176.59443727676756,Asia,9.99,29.97,Medium Engagement
10053,Standard,1,229.56924875472345,Latin America,14.99,14.99,Medium Engagement
10054,Basic,12,342.52932087521447,Europe,9.99,119.88,Medium Engagement
10055,Standard,5,189.61786142271183,North America,14.99,74.95,Medium Engagement
10056,Premium,10,264.13568207635774,Latin America,19.99,199.89999999999998,Medium Engagement
10057,Premium,11,200.748299077944,North America,19.99,219.89,Medium Engagement
10058,Basic,4,230.47682190464218,North America,9.99,39.96,Medium Engagement
10059,Premium,7,136.7469091011061,North America,19.99,139.92999999999998,Low Engagement
10060,Premium,6,233.4596328132597,Europe,19.99,119.94,Medium Engagement
10061,Standard,10,235.47209651462785,Asia,14.99,149.9,Medium Engagement
10062,Basic,7,290.52159580267715,Asia,9.99,69.93,Medium Engagement
10063,Standard,5,266.7460684941528,Latin America,14.99,74.95,Medium Engagement
10064,Standard,4,160.1205906285966,Europe,14.99,59.96,Medium Engagement
10065,Standard,7,331.3148683032657,Asia,14.99,104.93,Medium Engagement
10066,Standard,7,265.77272801664964,Latin America,14.99,104.93,Medium Engagement
10067,Standard,6,264.8795137883115,Latin America,14.99,89.94,Medium Engagement
10068,Standard,8,249.31132349611457,North America,14.99,119.92,Medium Engagement
10069,Standard,4,211.16819145833352,Europe,14.99,59.96,Medium Engagement
10070,Basic,10,266.33517548115447,Asia,9.99,99.9,Medium Engagement
10071,Premium,5,285.6691326946437,Europe,19.99,99.94999999999999,Medium Engagement
10072,Standard,4,118.98282314908337,Europe,14.99,59.96,Low Engagement
10073,Standard,12,248.6489042306338,Asia,14.99,179.88,Medium Engagement
10074,Standard,1,230.8789772197308,Asia,14.99,14.99,Medium Engagement
10075,Standard,12,269.2127954270709,Europe,14.99,179.88,Medium Engagement
10076,Standard,8,339.49832544453443,Latin America,14.99,119.92,Medium Engagement
10077,Standard,1,192.11943890524134,Europe,14.99,14.99,Medium Engagement
10078,Premium,5,212.65286148866184,Asia,19.99,99.94999999999999,Medium Engagement
10079,Premium,6,211.55994170150873,Europe,19.99,119.94,Medium Engagement
10080,Standard,6,189.88543074215937,Asia,14.99,89.94,Medium Engagement
10081,Premium,5,223.96101286658032,Latin America,19.99,99.94999999999999,Medium Engagement
10082,Basic,3,307.8101664990978,Europe,9.99,29.97,Medium Engagement
10083,Standard,5,170.96233784767406,Latin America,14.99,74.95,Medium Engagement
10084,Basic,12,282.08607963646773,Europe,9.99,119.88,Medium Engagement
10085,Basic,8,122.35733274862484,Europe,9.99,79.92,Low Engagement
10086,Standard,2,207.89965026683456,Asia,14.99,29.98,Medium Engagement
10087,Premium,6,225.28830248365105,North America,19.99,119.94,Medium Engagement
10088,Basic,9,375.6144754685549,Asia,9.99,89.91,High Engagement
10089,Standard,8,229.3898271435484,Europe,14.99,119.92,Medium Engagement
10090,Basic,11,84.90673949118113,North America,9.99,109.89,Low Engagement
10091,Basic,8,100.08333198540626,North America,9.99,79.92,Low Engagement
10092,Basic,8,252.5522189760011,Latin America,9.99,79.92,Medium Engagement
10093,Basic,7,296.03281418424314,Europe,9.99,69.93,Medium Engagement
10094,Premium,8,278.15918932204397,Asia,19.99,159.92,Medium Engagement
10095,Basic,6,262.56775793507427,North America,9.99,59.94,Medium Engagement
10096,Basic,2,337.169469812925,North America,9.99,19.98,Medium Engagement
10097,Basic,2,209.53065844471513,Asia,9.99,19.98,Medium Engagement
10098,Premium,8,317.1182917020119,Asia,19.99,159.92,Medium Engagement
10099,Basic,11,248.6489042306338,North America,9.99,109.89,Medium Engagement
10100,Basic,1,182.12891252964505,Asia,9.99,9.99,Medium Engagement
10101,Premium,6,114.47189538011378,Latin America,19.99,119.94,Low Engagement
10102,Premium,6,229.38660244976558,North America,19.99,119.94,Medium Engagement
10103,Premium,11,246.5304087050243,Latin America,19.99,219.89,Medium Engagement
10104,Basic,4,258.557611916989,Europe,9.99,39.96,Medium Engagement
10105,Premium,12,254.64125146653515,Latin America,19.99,239.88,Medium Engagement
10106,Premium,11,180.43350018912042,Asia,19.99,219.89,Medium Engagement
10107,Basic,11,235.73193666900883,North America,9.99,109.89,Medium Engagement
10108,Premium,10,137.69149985456886,Latin America,19.99,199.89999999999998,Low Engagement
10109,Basic,3,352.24217313491874,Asia,9.99,29.97,High Engagement
10110,Standard,11,227.22804453264993,Asia,14.99,164.89000000000001,Medium Engagement
