UserID,Tier,MonthsActive,HoursStreamed,Region,Price,TotalRevenue
10416,Basic,10,461.8247943252285,North America,9.99,99.9
10539,Standard,3,482.37245755534434,Latin America,14.99,44.97
10551,Basic,9,452.72706733038126,Asia,9.99,89.91
10589,Premium,10,469.54525693549976,Asia,19.99,199.89999999999998
11093,Standard,6,458.49727181676667,Latin America,14.99,89.94
11481,Basic,4,470.1554654791351,Asia,9.99,39.96
11634,Basic,6,514.6791390677863,Asia,9.99,59.94
11701,Premium,11,450.0178916740007,Latin America,19.99,219.89
11839,Basic,7,453.3095724280399,Latin America,9.99,69.93
12073,Standard,7,470.72862514514657,North America,14.99,104.93
12184,Standard,10,459.41566509324707,Latin America,14.99,149.9
12367,Premium,1,454.143411092987,North America,19.99,19.99
12479,Premium,5,453.27487332511697,North America,19.99,99.94999999999999
12615,Premium,1,464.89090173144723,Europe,19.99,19.99
12617,Basic,2,461.8165319796402,Europe,9.99,19.98
12908,Premium,9,474.4607927545481,Latin America,19.99,179.91
12991,Standard,11,503.30371893119843,Europe,14.99,164.89000000000001
13054,Basic,11,452.3746626952816,Europe,9.99,109.89
13469,Basic,3,486.83284622832235,Asia,9.99,29.97
14001,Basic,12,457.62802042194573,Latin America,9.99,119.88
14928,Premium,2,468.5581911826271,Asia,19.99,39.98
